BIL,State,Education District,School Level,Type of School,School Code,School Name,Correspondence Address,Poscode,City,Urban/Rural,Gov/Gov Aided,Enrollment,N. of Teachers,PreSchool,Integration,X Cood,Y Cood,Student:Teacher Ratio
3531,Johor,Ppd Johor Bahru,Rendah,SK,JBA1074,Sekolah Kebangsaan Taman Tun Aminah 2,"Jln Hulubalang 10, Tmn Ungku Tun Aminah",81300,Skudai,Bandar,Kerajaan,536.0,38.0,Ada,Tiada,103.653892278671,1.50757080411998,14.105
3532,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1075,Sekolah Kebangsaan Taman Johor Jaya 2,Jln Keembong 41 Taman Johor Jaya,81100,Johor Bahru,Bandar,Kerajaan,483.0,40.0,Ada,Ada,103.804385662079,1.53489288082711,12.075
3533,Johor,Ppd Johor Bahru,Rendah,SK,JBA1076,Sekolah Kebangsaan Taman Damai Jaya,"Jalan Makmur, Taman Damai Jaya",81300,Skudai,Bandar,Kerajaan,693.0,50.0,Ada,Tiada,103.647750020027,1.50364004323255,13.86
3534,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1077,Sekolah Kebangsaan Taman Daya,Jalan Sagu 6 Taman Daya,81100,Johor Bahru,Bandar,Kerajaan,692.0,47.0,Ada,Tiada,103.766732811928,1.54162279926923,14.723
3535,Johor,Ppd Johor Bahru,Rendah,SK,JBA1078,Sekolah Kebangsaan Taman Universiti 1,"Jalan Penyiaran, Taman Universiti",81300,Skudai,Bandar,Kerajaan,905.0,70.0,Ada,Ada,103.617500066757,1.53530579276869,12.929
3536,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1079,Sekolah Kebangsaan Desa Cemerlang,"Tmn. Desa Cemerlang,  Ulu Tiram",81800,Ulu Tiram,Bandar,Kerajaan,602.0,43.0,Ada,Ada,103.817871809006,1.55890062769871,14.0
3537,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1080,Sekolah Kebangsaan Taman Rinting 2,"Jln Keruing 10, Tmn Rinting",81750,Masai,Bandar,Kerajaan,579.0,49.0,Ada,Ada,103.864333033562,1.49245905445337,11.816
3538,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1081,Sekolah Kebangsaan Taman Desa Jaya,Jln Danau 32 Tmn Desa Jaya,81100,Johor Bahru,Bandar,Kerajaan,796.0,50.0,Ada,Tiada,103.810707628727,1.55558127931264,15.92
3539,Johor,Ppd Johor Bahru,Rendah,SK,JBA1082,Sekolah Kebangsaan Taman Cempaka,"Jalan Persiaran Dahlia, Taman Dahlia",81200,Johor Bahru,Bandar,Kerajaan,694.0,50.0,Ada,Ada,103.699741959572,1.51351787633049,13.88
3540,Johor,Ppd Pasir Gudang,Rendah,SK,JBA1083,Sekolah Kebangsaan Pasir Gudang 4,"Jalan Mawar 45, Taman Mawar",81700,Pasir Gudang,Bandar,Kerajaan,747.0,54.0,Ada,Tiada,103.892257511616,1.46939708053594,13.833
